勘定科目ID,勘定科目名,決算書表示名,決算書表示名ID,勘定科目カテゴリー,勘定科目のカテゴリーID,ショートカット1,ショートカット2,勘定科目の使用設定（true: 使用する、false: 使用しない）,税区分コード,口座ID
819804392,売上戻り高,売上戻り高,700759715,売上高,81,URIAGEMO,708,TRUE,26,
819804390,売上高,売上高,700759716,売上高,81,URIAGE,700,TRUE,21,
819804298,売掛金,売掛金,700759717,売上債権,37,URIKAKE,142,TRUE,2,
819804412,外注費,外注費,700759718,販売管理費,93,GAICHUU,750,TRUE,34,
819804476,完成工事未収入金,完成工事未収入金,700759719,売上債権,37,KANSEIKOUJIM,144,TRUE,2,
819804483,完成工事高,完成工事高,700759720,売上高,81,KANSEIKOUJID,701,TRUE,21,
819804435,寄付金,寄付金,700759722,販売管理費,93,KIFUKIN,772,TRUE,2,
819804480,工事未払金,工事未払金,700759723,仕入債務,49,KOUJIMI,401,TRUE,2,
819804324,工具器具備品,工具器具備品,700759724,有形固定資産,42,KOUGUKI,205,TRUE,34,
819804331,工業所有権,工業所有権,700759725,無形固定資産,43,KOUGYOU,222,TRUE,34,
819804339,差入保証金,差入保証金,700759726,投資その他の資産,44,SASHIIRE,243,TRUE,2,
819804414,広告宣伝費,広告宣伝費,700759727,販売管理費,93,KOUKOKU,752,TRUE,34,
819804319,建物,建物,700759728,有形固定資産,42,TATEMONO,200,TRUE,34,
819804328,建設仮勘定,建設仮勘定,700759729,有形固定資産,42,KENSETSU,211,TRUE,2,
819804394,役務収益,役務収益,700759732,売上高,81,EKIMUSHU,710,TRUE,21,
819804474,役員借入金,役員借入金,700759733,他流動負債,50,YAKUINKA,441,TRUE,2,
819804402,役員報酬,役員報酬,700759734,販売管理費,93,YAKUINHO,740,TRUE,2,
819804473,役員貸付金,役員貸付金,700759735,他流動資産,40,YAKUINKAS,181,TRUE,2,
819804403,役員賞与,役員賞与,700759736,販売管理費,93,YAKUINSH,790,TRUE,2,
819804450,手形売却損,手形売却損,700759737,営業外費用,96,TEGATABA,837,TRUE,2,
819804334,投資有価証券,投資有価証券,700759738,投資その他の資産,44,TOUSHIYU,240,TRUE,2,
819804464,投資有価証券売却損,投資有価証券売却損,700759739,特別損失,99,TOUSHISH,922,TRUE,2,
819804459,投資有価証券売却益,投資有価証券売却益,700759740,特別利益,98,TOUSHISH,901,TRUE,10,
819804411,採用教育費,採用教育費,700759741,販売管理費,93,SAIYOU,749,TRUE,34,
819804468,損益,損益,700759743,振替,103,,,TRUE,2,
819804448,支払利息,支払利息,700759744,営業外費用,96,SHIHARAI,830,TRUE,2,
